geo,geo_two,GISJOIN,county,geo2,Obstetrics Beds,births_2014,deaths_2014,rate_2014,Urbanization Status
0500000US48285,48285,G4802850,LAVACA,0500000US48285,2,242,0,-,Rural
0500000US48287,48287,G4802870,LEE,0500000US48287,,225,0,-,Rural
0500000US48289,48289,G4802890,LEON,0500000US48289,,205,0,-,Rural
0500000US48291,48291,G4802910,LIBERTY,0500000US48291,0,1082,1,0.9,Urban
0500000US48293,48293,G4802930,LIMESTONE,0500000US48293,0,342,0,-,Rural
0500000US48295,48295,G4802950,LIPSCOMB,0500000US48295,,43,0,-,Rural
0500000US48297,48297,G4802970,LIVE OAK,0500000US48297,,138,0,-,Rural
0500000US48299,48299,G4802990,LLANO,0500000US48299,3,161,0,-,Rural
0500000US48301,48301,G4803010,LOVING,0500000US48301,,0,0,-,Rural
0500000US48303,48303,G4803030,LUBBOCK,0500000US48303,95,4237,1,0.2,Urban
0500000US48305,48305,G4803050,LYNN,0500000US48305,0,64,0,-,Urban
0500000US48307,48307,G4803070,MCCULLOCH,0500000US48307,0,83,0,-,Rural
0500000US48309,48309,G4803090,MCLENNAN,0500000US48309,59,3618,1,0.3,Urban
0500000US48311,48311,G4803110,MCMULLEN,0500000US48311,,,,,Rural
0500000US48313,48313,G4803130,MADISON,0500000US48313,0,166,0,-,Rural
0500000US48315,48315,G4803150,MARION,0500000US48315,,87,0,-,Rural
0500000US48317,48317,G4803170,MARTIN,0500000US48317,0,119,0,-,Urban
0500000US48319,48319,G4803190,MASON,0500000US48319,,28,0,-,Rural
0500000US48321,48321,G4803210,MATAGORDA,0500000US48321,10,572,0,-,Rural
0500000US48323,48323,G4803230,MAVERICK,0500000US48323,14,1171,1,0.9,Rural
0500000US48325,48325,G4803250,MEDINA,0500000US48325,4,602,0,-,Urban
0500000US48327,48327,G4803270,MENARD,0500000US48327,,23,0,-,Rural
0500000US48329,48329,G4803290,MIDLAND,0500000US48329,50,2826,0,-,Urban
0500000US48331,48331,G4803310,MILAM,0500000US48331,0,332,1,3.0,Rural
0500000US48333,48333,G4803330,MILLS,0500000US48333,,58,0,-,Rural
0500000US48335,48335,G4803350,MITCHELL,0500000US48335,0,93,0,-,Rural
0500000US48337,48337,G4803370,MONTAGUE,0500000US48337,0,220,0,-,Rural
0500000US48339,48339,G4803390,MONTGOMERY,0500000US48339,127,6971,2,0.3,Urban
0500000US48341,48341,G4803410,MOORE,0500000US48341,6,421,0,-,Rural
0500000US48343,48343,G4803430,MORRIS,0500000US48343,,143,0,-,Rural
0500000US48345,48345,G4803450,MOTLEY,0500000US48345,,4,0,-,Rural
0500000US48347,48347,G4803470,NACOGDOCHES,0500000US48347,19,886,0,-,Rural
0500000US48349,48349,G4803490,NAVARRO,0500000US48349,5,768,2,2.6,Rural
0500000US48351,48351,G4803510,NEWTON,0500000US48351,,147,0,-,Urban
0500000US48353,48353,G4803530,NOLAN,0500000US48353,6,232,0,-,Rural
0500000US48355,48355,G4803550,NUECES,0500000US48355,63,5170,3,0.6,Urban
0500000US48357,48357,G4803570,OCHILTREE,0500000US48357,5,207,0,-,Rural
0500000US48359,48359,G4803590,OLDHAM,0500000US48359,,22,0,-,Urban
0500000US48361,48361,G4803610,ORANGE,0500000US48361,0,1184,0,-,Urban
0500000US48363,48363,G4803630,PALO PINTO,0500000US48363,10,361,1,2.8,Rural
0500000US48365,48365,G4803650,PANOLA,0500000US48365,0,293,0,-,Rural
0500000US48367,48367,G4803670,PARKER,0500000US48367,10,1422,1,0.7,Urban
0500000US48369,48369,G4803690,PARMER,0500000US48369,0,144,0,-,Rural
0500000US48371,48371,G4803710,PECOS,0500000US48371,3,227,0,-,Rural
0500000US48373,48373,G4803730,POLK,0500000US48373,7,476,0,-,Rural
0500000US48375,48375,G4803750,POTTER,0500000US48375,58,2071,1,0.5,Urban
0500000US48377,48377,G4803770,PRESIDIO,0500000US48377,,143,0,-,Rural
0500000US48379,48379,G4803790,RAINS,0500000US48379,,87,0,-,Rural
0500000US48381,48381,G4803810,RANDALL,0500000US48381,0,1762,0,-,Urban
0500000US48383,48383,G4803830,REAGAN,0500000US48383,0,47,0,-,Rural
0500000US48385,48385,G4803850,REAL,0500000US48385,,36,0,-,Rural
0500000US48387,48387,G4803870,RED RIVER,0500000US48387,0,127,0,-,Rural
0500000US48389,48389,G4803890,REEVES,0500000US48389,4,201,0,-,Rural
0500000US48391,48391,G4803910,REFUGIO,0500000US48391,0,93,0,-,Rural
0500000US48393,48393,G4803930,ROBERTS,0500000US48393,,9,0,-,Rural
0500000US48395,48395,G4803950,ROBERTSON,0500000US48395,,235,0,-,Urban
0500000US48397,48397,G4803970,ROCKWALL,0500000US48397,23,985,0,-,Urban
0500000US48399,48399,G4803990,RUNNELS,0500000US48399,0,99,0,-,Rural
0500000US48401,48401,G4804010,RUSK,0500000US48401,14,576,0,-,Urban
0500000US48403,48403,G4804030,SABINE,0500000US48403,0,82,0,-,Rural
0500000US48405,48405,G4804050,SAN AUGUSTINE,0500000US48405,0,92,0,-,Rural
0500000US48407,48407,G4804070,SAN JACINTO,0500000US48407,,284,0,-,Rural
0500000US48409,48409,G4804090,SAN PATRICIO,0500000US48409,0,1047,1,1.0,Urban
0500000US48411,48411,G4804110,SAN SABA,0500000US48411,,69,0,-,Rural
0500000US48413,48413,G4804130,SCHLEICHER,0500000US48413,0,40,0,-,Rural
0500000US48415,48415,G4804150,SCURRY,0500000US48415,3,261,0,-,Rural
0500000US48417,48417,G4804170,SHACKELFORD,0500000US48417,,23,0,-,Rural
0500000US48419,48419,G4804190,SHELBY,0500000US48419,,351,1,2.8,Rural
0500000US48421,48421,G4804210,SHERMAN,0500000US48421,,41,0,-,Rural
0500000US48423,48423,G4804230,SMITH,0500000US48423,46,3150,2,0.6,Urban
0500000US48425,48425,G4804250,SOMERVELL,0500000US48425,0,85,0,-,Urban
0500000US48427,48427,G4804270,STARR,0500000US48427,10,1382,0,-,Rural
0500000US48429,48429,G4804290,STEPHENS,0500000US48429,0,96,0,-,Rural
0500000US48431,48431,G4804310,STERLING,0500000US48431,,20,0,-,Rural
0500000US48433,48433,G4804330,STONEWALL,0500000US48433,0,17,0,-,Rural
0500000US48435,48435,G4804350,SUTTON,0500000US48435,0,53,0,-,Rural
0500000US48437,48437,G4804370,SWISHER,0500000US48437,0,95,0,-,Rural
0500000US48439,48439,G4804390,TARRANT,0500000US48439,443,28405,13,0.5,Urban
0500000US48441,48441,G4804410,TAYLOR,0500000US48441,58,2120,0,-,Urban
0500000US48443,48443,G4804430,TERRELL,0500000US48443,,18,0,-,Rural
0500000US48445,48445,G4804450,TERRY,0500000US48445,5,210,0,-,Rural
0500000US48447,48447,G4804470,THROCKMORTON,0500000US48447,0,14,0,-,Rural
0500000US48449,48449,G4804490,TITUS,0500000US48449,6,540,0,-,Rural
0500000US48451,48451,G4804510,TOM GREEN,0500000US48451,39,1666,1,0.6,Urban
0500000US48453,48453,G4804530,TRAVIS,0500000US48453,328,16386,7,0.4,Urban
0500000US48455,48455,G4804550,TRINITY,0500000US48455,0,157,1,6.4,Rural
0500000US48457,48457,G4804570,TYLER,0500000US48457,0,214,0,-,Rural
0500000US48459,48459,G4804590,UPSHUR,0500000US48459,0,491,0,-,Urban
0500000US48461,48461,G4804610,UPTON,0500000US48461,0,49,0,-,Rural
0500000US48463,48463,G4804630,UVALDE,0500000US48463,6,409,0,-,Rural
0500000US48465,48465,G4804650,VAL VERDE,0500000US48465,18,866,0,-,Rural
0500000US48467,48467,G4804670,VAN ZANDT,0500000US48467,,568,0,-,Rural
0500000US48469,48469,G4804690,VICTORIA,0500000US48469,65,1309,1,0.8,Urban
0500000US48471,48471,G4804710,WALKER,0500000US48471,5,674,0,-,Rural
0500000US48473,48473,G4804730,WALLER,0500000US48473,,667,0,-,Urban
0500000US48475,48475,G4804750,WARD,0500000US48475,0,187,0,-,Rural
0500000US48477,48477,G4804770,WASHINGTON,0500000US48477,5,415,1,2.4,Rural
0500000US48479,48479,G4804790,WEBB,0500000US48479,76,5492,2,0.4,Urban
0500000US48481,48481,G4804810,WHARTON,0500000US48481,0,552,0,-,Rural
0500000US48483,48483,G4804830,WHEELER,0500000US48483,0,100,0,-,Rural
0500000US48485,48485,G4804850,WICHITA,0500000US48485,15,1816,3,1.7,Urban
0500000US48487,48487,G4804870,WILBARGER,0500000US48487,0,155,0,-,Rural
0500000US48489,48489,G4804890,WILLACY,0500000US48489,,293,0,-,Rural
0500000US48491,48491,G4804910,WILLIAMSON,0500000US48491,70,6457,2,0.3,Urban
0500000US48493,48493,G4804930,WILSON,0500000US48493,0,514,0,-,Urban
0500000US48495,48495,G4804950,WINKLER,0500000US48495,0,136,0,-,Rural
0500000US48497,48497,G4804970,WISE,0500000US48497,17,773,0,-,Urban
0500000US48499,48499,G4804990,WOOD,0500000US48499,0,418,0,-,Rural
0500000US48501,48501,G4805010,YOAKUM,0500000US48501,2,147,0,-,Rural
0500000US48503,48503,G4805030,YOUNG,0500000US48503,11,230,0,-,Rural
0500000US48505,48505,G4805050,ZAPATA,0500000US48505,,308,0,-,Rural
0500000US48507,48507,G4805070,ZAVALA,0500000US48507,,197,0,-,Rural
